ଟ୍ଟା,11
ଦାୟ,9
ହାଁ,3
ନ୍ଦ୍ରା,7
ା,1
ନ୍ଦ୍ରୀ,1
ଞ୍ଛା,1
ପାଁ,1
ଟ୍ର,4
ର୍ଦ୍ଦା,2
ଶ୍ରେୟ,3
ଞ୍ଜ୍ଜ,1
ଚ୍ଛା,10
ଚ୍ଛି,3
ର୍ଲସ୍,1
ପ୍ନେ,2
ଷୟ,95
ର୍ତ୍ତ୍ୟ,2
ନ୍ଥା,6
ନ୍ଥି,1
ଛାୟା,6
ନିଟ୍,1
ସ୍ତୁ,18
ତ୍ମା,6
ର୍ତ,1
ମିୟା,1
ନ୍ଵୟ,1
ସ୍ତେ,4
ହାୟ,7
ବୃୟା,1
ସ୍ତୀ,1
ସ୍ତୃ,2
ର୍ଟ୍,1
ଗ୍ର,130
ଟ୍ଟ,252
ଗତ୍,1
ସ୍ତୋ,1
କୀ,100
ଗ୍ନ,5
ନ୍ତ୍ରି,8
ବ୍ୟା,31
ବ୍ୟି,3
ଅଲ୍,2
ହ୍ଲା,3
ଗ୍ରେ,18
ଗ୍ରୀ,12
ମ୍ଫା,9
ମାୟ,14
ସିଂ,164
ଚ୍ୟୁ,66
ଉ,1619
କ୍ଷ୍ନୌ,1
ଜୁ,52
ଚାୟ,1
ୃ,1
ଣ୍ଡ,102
ଣ୍ଠ,143
ରଂ,2
ରିୟ,1
ଷୟି,1
ଣି,631
ଣା,210
ଗ୍ରିଡ୍,1
ଙ,1
ବ୍ଂ,1
ନିୟୁ,1
ଗୂ,1
ର୍ୟା,1
ଦ୍ଧ୍ଯ,1
ବ୍ର,111
ବ୍ଲ,2
ବ୍ଳ,3
ରା,1550
ରି,1572
ଜ,1509
ଣ୍ଟ,18
କ୍ସି,2
ର୍ଣ୍ଣ,76
ସ୍ୟ,62
ଧ୍ୟ,258
ଡି,152
ହ,877
ଲାନ୍,1
ଇଲ୍,1
ବ୍ଦ,26
ବ୍ଧ,9
ସ୍ବ,5
ନ୍ତ୍ର,51
ସ୍ମ,3
ର୍ଗ,55
ନ୍ତ୍ଵ,1
ସ୍ପ,13
ବ୍ୟ,223
ର୍ଜ,27
ସ୍ଥ,37
ର୍ଟ,9
ର୍ଘ,12
ର୍ଚ,5
ରୂ,73
ଧ୍ଵଂ,2
ରୀ,477
ରୁ,705
ଦାୟି,10
ରେ,2452
ଢି,24
ନ୍ୟାୟା,6
ରୋ,162
କ୍ଷାୟ,1
ସ୍ର,10
ରୌ,2
ତ୍ନୀ,6
ତ୍ପା,3
ର୍ଶ,50
ର୍ଷ,86
ର୍ତ୍ତି,62
ର୍ଲ,1
ର୍ଦ୍ଦେ,12
ଗ୍ଧ,9
ଣୁ,19
ଣୀ,145
ଣେ,145
ଲ୍ଲ୍ଲା,1
ଣ୍ୟ,30
ର୍ଥ,40
ଣୟ,6
ର୍ଡ,2
ର୍ଣ,7
ର୍ବ,107
ସ୍କ,12
ର୍ମ,61
ର୍ଯ,5
ର୍ନ,1
କମ୍,5
ର୍ପ,17
ଘ୍ନ,3
ଲେଜ୍,1
ସ୍କୋ,1
ନୟା,5
ଈ,14
ରିୟା,1
ଇଟ୍,1
ଷ୍ଣ,287
ବୟି,1
ଶ୍ଚ,3
କ୍ରି,59
ଘ,144
ର୍ଦ୍ଧ୍ଵ,1
ଦେୟ,1
ଣ୍ଡେୟ,1
ଶ୍ମ,2
ହୋ,236
ହ୍ମୋ,1
ଶ୍ନ,3
ର୍ଜ୍ଜି,1
ହୁ,284
ନ,2916
ହୃ,10
ଞୟ,1
ହେ,316
ସ୍ନା,24
ମାୟା,74
ଙ୍ଗି,13
ଙ୍ଗା,76
ଦ୍ଵୟ,1
ସ,3717
ତ୍ରେ,2
ଶ୍ଵ,253
ତ୍ରୁ,2
ତ୍ରୀ,77
ଶ୍ର,309
ଙ୍ଗୋ,8
ତ୍ରି,42
ତ୍ରା,34
ୈ,1
ଙ୍ଗୁ,7
ଙ୍ଗୀ,42
ଙ୍ଗେ,15
ୣ,1
ଗୁଁ,9
ଧ୍ୟ୍ୟା,1
ଶ୍ୟ,15
ଇଂ,140
ଇଁ,185
ହା,1698
ସୀୟ,1
ମ୍ପି,1
ତ୍ତ୍ବ,1
ଣ୍ଣ,1
ଜାର୍,1
ତୟା,1
ନ୍ଧ୍ୟା,5
ହଂ,3
ୟୁ,3
ରିକ୍,1
ତ୍ତ୍ଵ,6
ର୍ଗା,3
ଗାୟ,5
ବ୍ରେ,2
ଃ,1
ଶ୍ରୋ,1
ବ୍ରୁ,1
ଧି,218
ଧା,630
ନସ୍,1
ଷ୍ଟୋ,1
ଓ,1893
ନିଂ,1
ଳ୍ପ,150
ପ୍ସି,1
ଏଟ୍,1
ମୌ,5
ର୍ଷା,8
ର୍ଷି,8
ପାୟି,2
କୀୟ,5
ଣ,800
ଢେ,15
ଷ୍ୟ,10
ଢୁ,2
ଦ୍ରୋ,11
ଡା଼,3
ପାଶ୍,1
ହ୍ମା,10
ର୍ଦ୍ର,1
ଭ୍ରା,3
କୌ,11
ଳ,1532
ଅା,4
କୈ,56
କୋ,93
ଭୟଂ,1
ର୍ଦ୍ଧ,8
ର୍ଦ୍ଦ,1
କେ,226
କୁ,1172
ଢ଼େ,6
କୃ,343
କୂ,23
କି,553
କା,1432
ଦ୍ବୁ,1
ରେଟ୍,1
ଆଁ,29
ନିୟ,69
ପ୍ରୟୋ,12
ଡ୍ୟୁ,1
ଢ଼ୀ,1
ଷ୍ପ,7
ଣ୍ତି,4
ଷ୍ମ,6
ଟ୍ଟୋ,1
ହ୍ମେ,1
ତୀୟ,249
ଦୁଃ,15
ଢା,7
ଷ୍ଠ,44
ଯ୍ୟ,5
ଜ୍ଜୀ,1
ନାଁ,6
ଅଫ୍,2
ର୍ଷେ,1
ଷ୍ଟ,77
ଷ୍କ,9
ଧେ,1
ଧୂ,8
ଧୁ,148
ଧୀ,52
ବ୍ରି,6
ବ୍ରା,17
ଧୋ,1
କଃ,1
କଂ,17
